"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
5.176,0.0962,12.98,4.41,4.678,5.67,11.8,11.82,21.075,0.091,5.8607
5.132,0.0256,28.46,315.55,5.001,5.26,11.6,10.98,35.516,0.067,
5.211,0.0452,16.26,179.07,4.976,5.45,11.9,9.19,87.646,0.053,8.97
5.294,0.0233,28.75,283.98,5.170,5.42,12.2,9.65,62.519,0.072,21.43
5.186,0.1687,4.51,320.50,4.312,6.06,11.8,12.04,,,
5.122,0.0149,16.83,180.08,5.046,5.20,11.6,10.10,53.100,0.069,15.129
9.368,0.7740,34.96,273.93,2.117,16.62,28.7,12.10,,,
5.244,0.0695,10.68,170.86,4.879,5.61,12,11.37,27.941,0.082,50.1991
5.212,0.1545,21.27,168.83,4.406,6.02,11.9,10.97,36.433,0.070,6.9903
5.262,0.0254,5.08,87.80,5.129,5.40,12.1,11.60,16.432,0.198,375
5.182,0.0850,13.18,302.17,4.742,5.62,11.8,10.70,39.767,0.070,6.016
5.208,0.1442,14.66,258.90,4.457,5.96,11.9,11.40,28.974,0.076,11.71
5.269,0.0456,27.94,333.41,5.028,5.51,12.1,10.56,42.208,0.082,46.25
5.303,0.0413,2.96,29.40,5.084,5.52,12.2,11.51,24.341,0.099,
5.198,0.1055,33.88,24.01,4.650,5.75,11.9,10.89,36.200,0.071,
44.17,0.0750,2.18,3.55,40.861,47.49,294,7.30,,,
39.4,0.3212,1.94,78.84,26.747,52.06,247,7.95,,,
39.74,0.1886,5.15,318.44,32.241,47.23,250,7.00,328,0.022,
43.58,0.0586,0.56,301.72,41.031,46.14,288,7.32,,,
42.54,0.2231,14.05,237.95,33.050,52.03,277,7.80,,,
39.61,0.1200,3.80,104.79,34.861,44.37,249,7.70,,,5.49
39.6,0.3193,12.14,98.69,26.961,52.25,249,7.58,,,6
36.18,0.0720,6.57,330.35,33.576,38.79,218,7.70,,,
83.73,0.5824,23.96,184.35,34.971,132.50,766,5.46,,,12
39.4,0.3325,5.70,75.03,26.304,52.50,247,7.35,,,
46.76,0.2131,19.19,299.20,36.797,56.73,320,7.10,,,
5.192,0.0609,7.25,10.25,4.876,5.51,11.8,12.09,16.669,0.110,
5.176,0.0474,17.35,227.65,4.931,5.42,11.8,10.58,43.530,0.071,250
5.139,0.1260,16.25,353.76,4.491,5.79,11.6,9.82,63.191,0.058,20.24
5.187,0.0830,13.45,278.12,4.757,5.62,11.8,10.82,36.774,0.075,
5.134,0.0963,3.46,347.94,4.639,5.63,11.6,12.07,16.177,0.129,22.996
5.215,0.0706,3.98,345.11,4.847,5.58,11.9,11.60,22.468,0.055,20.312
5.059,0.0421,15.31,159.87,4.846,5.27,11.4,10.78,43.861,0.053,
5.198,0.2003,16.69,239.31,4.156,6.24,11.8,10.82,35.390,0.062,
44.12,0.0523,3.75,254.17,41.811,46.43,293,6.74,,,
5.223,0.1135,30.92,202.72,4.630,5.82,11.9,10.78,38.583,0.082,8.84
5.18,0.0708,15.04,137.04,4.813,5.55,11.8,10.04,57.341,0.065,78.9
5.137,0.0835,25.29,356.99,4.708,5.57,11.6,10.60,40.946,0.080,64.79
5.221,0.0582,29.16,214.76,4.917,5.53,11.9,10.90,34.482,0.078,47.02
5.166,0.0737,10.72,84.91,4.785,5.55,11.7,10.94,35.761,0.072,9.67
5.16,0.0979,15.29,46.79,4.655,5.66,11.7,11.52,28.749,0.071,
5.271,0.0781,11.64,117.32,4.860,5.68,12.1,10.50,44.904,0.066,12.672
5.136,0.0346,16.59,81.80,4.958,5.31,11.6,12.13,21.627,0.060,
5.145,0.0488,23.76,123.42,4.894,5.40,11.7,12.17,17.665,0.090,
5.127,0.0625,17.30,123.48,4.806,5.45,11.6,12.37,18.407,0.063,40.966
5.165,0.0838,2.22,236.35,4.733,5.60,11.7,11.58,27.569,0.049,6.724
5.18,0.1612,6.51,136.05,4.345,6.02,11.8,12.19,15.806,0.135,6.075
5.223,0.0642,15.93,330.12,4.888,5.56,11.9,11.36,33.138,0.053,19.233
5.197,0.0839,15.87,259.02,4.761,5.63,11.8,12.02,18.361,0.100,
5.141,0.1001,16.93,218.03,4.626,5.66,11.7,11.84,23.785,0.072,
5.214,0.0942,1.62,84.13,4.722,5.70,11.9,12.26,14.885,0.115,
5.199,0.1583,12.69,161.40,4.376,6.02,11.9,12.33,17.964,0.072,
5.24,0.0472,15.77,323.68,4.993,5.49,12,11.81,23.374,0.081,
5.176,0.0723,29.15,216.36,4.802,5.55,11.8,10.14,53.975,0.066,17.699
5.236,0.0461,2.54,46.85,4.995,5.48,12,11.93,17.399,0.134,9.81
5.237,0.0836,15.37,254.63,4.800,5.68,12,11.61,24.424,0.082,
5.202,0.0587,33.30,153.09,4.897,5.51,11.9,10.53,42.736,0.073,36
5.243,0.0188,19.67,129.92,5.144,5.34,12,10.76,36.222,0.071,
5.117,0.0804,9.07,51.31,4.705,5.53,11.6,12.14,,,374.846
5.124,0.0578,6.64,154.08,4.827,5.42,11.6,11.19,36.431,0.053,15.5
5.147,0.0500,17.39,34.20,4.889,5.40,11.7,11.06,30.334,0.092,9.773
5.157,0.0580,17.99,65.10,4.857,5.46,11.7,11.33,31.122,0.073,
5.294,0.0574,3.65,79.00,4.990,5.60,12.2,11.76,22.183,0.082,
5.103,0.0161,7.67,203.84,5.021,5.19,11.5,11.09,33.664,0.068,16.2
5.278,0.1277,3.20,347.89,4.604,5.95,12.1,11.81,23.245,0.068,32.839
5.198,0.0399,10.61,143.93,4.990,5.41,11.9,11.53,21.331,0.129,10.39
5.16,0.0970,16.60,112.72,4.659,5.66,11.7,12.05,20.352,0.074,
