"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
3.228,0.1710,1.57,279.39,2.676,3.78,5.8,12.60,17.047,0.080,30
3.211,0.1741,0.89,210.97,2.652,3.77,5.75,12.37,21.925,0.089,20.903
3.939,0.0835,0.17,79.50,3.610,4.27,7.82,12.49,,,6.619
3.209,0.1740,1.62,288.32,2.651,3.77,5.75,12.50,19.455,0.067,10.1505
3.235,0.1849,1.45,199.79,2.637,3.83,5.82,13.06,13.643,0.079,
3.214,0.1362,5.28,77.76,2.776,3.65,5.76,12.91,11.600,0.109,
3.21,0.0807,9.74,344.27,2.951,3.47,5.75,11.67,20.018,0.133,3.476
3.43,0.0766,18.92,130.34,3.167,3.69,6.35,11.68,27.958,0.068,
3.244,0.1403,0.80,25.62,2.789,3.70,5.84,13.21,11.839,0.087,9.25
3.205,0.1299,2.34,322.75,2.789,3.62,5.74,12.68,17.519,0.061,
3.226,0.0550,14.61,120.66,3.048,3.40,5.79,11.95,26.630,0.027,
3.2,0.0581,16.10,195.24,3.015,3.39,5.73,11.93,24.573,0.069,6.42493
3.213,0.1494,0.19,75.43,2.733,3.69,5.76,12.67,14.064,0.107,
3.696,0.4974,19.27,67.52,1.858,5.53,7.11,13.23,,,
3.41,0.4468,3.28,117.47,1.886,4.93,6.3,14.87,,,
3.217,0.0968,1.57,229.17,2.905,3.53,5.77,12.62,13.616,0.104,
3.201,0.0144,14.78,320.76,3.155,3.25,5.73,11.79,25.615,0.062,6.907
3.359,0.1035,10.05,131.97,3.011,3.71,6.16,12.15,20.970,0.058,24.2695
3.238,0.0141,21.76,21.46,3.192,3.28,5.83,11.92,28.062,0.056,8.65192
3.388,0.0272,6.15,273.01,3.296,3.48,6.24,11.93,21.882,0.084,6.879
3.966,0.0816,6.26,338.45,3.642,4.29,7.9,11.12,34.807,0.058,59.36
3.965,0.1618,1.23,328.66,3.324,4.61,7.9,11.90,22.099,0.076,50
3.211,0.1330,2.37,333.83,2.784,3.64,5.75,12.48,18.883,0.068,6.985
3.413,0.0481,9.23,278.18,3.249,3.58,6.31,11.70,25.518,0.098,
3.249,0.0462,16.38,331.64,3.099,3.40,5.86,11.44,21.001,0.137,
3.235,0.0724,10.77,325.11,3.001,3.47,5.82,12.61,15.471,0.089,4.146
3.982,0.0526,4.37,9.10,3.773,4.19,7.95,10.82,45.677,0.049,6.79
3.964,0.2355,13.32,1.82,3.031,4.90,7.89,11.20,34.37,0.1364,6.803
3.227,0.1158,11.62,42.60,2.853,3.60,5.8,12.20,23.597,0.055,
3.943,0.1647,6.37,296.01,3.294,4.59,7.83,11.23,38.81,0.0426,107.1
3.215,0.1515,1.97,334.71,2.728,3.70,5.77,12.69,20.670,0.041,157.767
3.207,0.1831,0.37,251.25,2.620,3.79,5.74,12.76,14.302,0.077,13.91
3.344,0.1325,8.68,115.33,2.901,3.79,6.12,12.29,22.593,0.055,
3.493,0.0326,19.38,110.98,3.379,3.61,6.53,11.14,27.077,0.105,27.441
3.201,0.1446,4.92,206.15,2.738,3.66,5.73,12.89,,,
3.539,0.0899,10.38,247.35,3.221,3.86,6.66,11.04,38.097,0.062,38.73
3.97,0.1193,9.28,104.68,3.497,4.44,7.91,11.70,30.402,0.053,415.5
3.235,0.1078,22.86,101.13,2.886,3.58,5.82,12.57,15.271,0.100,
3.412,0.0500,13.10,175.94,3.241,3.58,6.3,12.00,22.030,0.076,
3.245,0.0498,21.80,272.23,3.083,3.41,5.85,11.28,24.771,0.100,17.173
3.324,0.1005,17.82,192.74,2.990,3.66,6.06,11.98,29.368,0.043,5.801
3.218,0.1557,2.79,154.74,2.717,3.72,5.77,12.60,17.275,0.078,8.407
3.204,0.0747,15.19,259.36,2.965,3.44,5.74,12.35,21.964,0.053,
3.427,0.1952,14.14,149.61,2.758,4.10,6.34,11.82,28.761,0.049,
3.986,0.2414,9.37,243.17,3.024,4.95,7.96,12.44,19.592,0.067,6.159
3.213,0.0632,15.44,86.03,3.010,3.42,5.76,11.46,30.720,0.048,
3.253,0.1234,21.22,132.10,2.851,3.65,5.87,11.76,27.451,0.065,
3.234,0.1536,0.51,80.44,2.737,3.73,5.82,13.28,11.431,0.090,
3.934,0.0722,5.36,207.15,3.650,4.22,7.8,11.70,37.4,0.0348,7.787
3.225,0.1548,2.33,297.27,2.725,3.72,5.79,12.88,,,8.25
3.265,0.1160,1.85,54.10,2.886,3.64,5.9,13.26,12.526,0.085,
3.228,0.1463,2.28,75.04,2.756,3.70,5.8,12.44,19.078,0.064,
3.249,0.0034,8.13,235.21,3.238,3.26,5.86,12.44,17.402,0.084,
3.205,0.1062,10.72,39.90,2.865,3.55,5.74,11.57,31.902,0.048,14.062
3.215,0.1333,17.59,246.84,2.787,3.64,5.77,11.66,25.221,0.111,21.81
