"diameter","rot_per","epoch.mjd","a","e","i","om","w","ma","H","albedo"
,3.398,59600,0.741,0.3222,25.62,103.88,252.92,34.00,16.36,
1.717,2.343,59600,1.11,0.2920,44.06,38.32,91.05,111.94,16.21,0.198
,5.91,59600,45.94,0.1452,21.52,184.27,181.50,275.76,3.40,
1.196,3.5942,59600,1.054,0.3497,1.99,299.68,24.08,202.32,18.44,0.072
,,59600,50.62,0.2439,1.05,117.23,164.99,341.84,6.40,
0.863,2.7754,59600,1.365,0.3766,8.67,358.68,289.78,164.28,18.33,0.137
1.045,40.542,59600,2.116,0.4698,4.21,193.37,91.24,171.00,17.27,0.234
,182.,59600,2.053,0.4862,4.09,325.75,105.46,147.71,18.20,
,13.42,59600,39.29,0.1813,13.57,252.04,16.49,235.03,3.77,
,587,59600,2.304,0.3419,22.73,23.95,74.93,158.27,15.10,
,22.4,59600,67.43,0.4979,30.61,336.86,207.52,107.67,1.91,
,,59600,1.095,0.6158,2.56,4.34,218.53,101.13,20.10,
,11.05,59600,73.4,0.4876,23.39,131.06,346.17,346.22,3.50,
,2.5001,59600,1.922,0.3273,3.46,118.96,259.91,86.26,19.50,
,11.68,59600,44.22,0.0822,1.55,108.74,131.82,83.90,5.71,
3.5,3.2931,59600,2.233,0.5608,47.30,161.90,228.01,62.81,16.68,.07
,4.749,59600,2.423,0.5718,12.86,250.09,345.70,107.61,17.24,
,3240,59600,3.051,0.2013,3.24,83.15,280.29,352.59,16.18,
,,59600,44.55,0.1082,1.33,339.04,314.52,54.00,6.35,
0.654,2.97387,59600,1.049,0.4990,26.61,165.58,72.12,70.67,17.70,0.313
,2.5709,59600,1.634,0.3996,19.45,74.93,156.25,184.31,18.17,
,9.28,59600,39.42,0.2684,11.27,196.63,204.98,7.08,6.85,
,2.4149,59600,2.225,0.5357,10.85,132.20,206.13,333.33,17.28,
,2.6205,59600,1.502,0.4024,23.78,126.67,311.49,305.68,19.35,
0.578,3,59600,0.8194,0.5300,21.06,197.53,322.48,28.39,19.64,0.059
,5.12,59600,1.076,0.0900,15.32,353.04,64.93,322.71,19.09,0.110
0.152,7.021,59600,1.587,0.7238,3.13,83.75,228.51,296.41,21.06,0.306
,,59600,44.67,0.0791,3.56,36.44,184.07,13.49,6.89,
